crop_name,image_url,dominant_color
x(임시),https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
가지,https://static.farmmorning.com/crop/20230725/common_ic_eggplant.png,#000001
각구도라,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
감,https://static.farmmorning.com/crop/20230725/common_ic_persimmon.png,#010100
감귤,https://static.farmmorning.com/crop/20230725/common_ic_mandarin.png,#010100
감자,https://static.farmmorning.com/crop/20230725/common_ic_potato.png,#000000
강낭콩,https://static.farmmorning.com/crop/20230725/common_ic_red-bean.png,#010101
개나리,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
개미취,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
개양귀비,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
거베라,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
거취옥,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
고구마,https://static.farmmorning.com/crop/20230725/common_ic_sweet-potato.png,#010000
고데치아,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
고무나무,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
고추,https://static.farmmorning.com/crop/20230725/common_ic_pepper.png,#000000
골드킹,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
골든볼,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
공작초,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
과꽃,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
관음죽,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
광나무,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
국화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
군자란,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
그람버,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
극락조화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
글라디올러스,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
글로리오사,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
글록시니아,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
금귤,https://static.farmmorning.com/crop/20230725/common_ic_mandarin.png,#010100
금꿩의다리,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
금낭화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
금사철,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
금어초,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
금잔화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
금황환철화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
기린초,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
깻잎,https://static.farmmorning.com/crop/20230725/common_ic_perilla-leaf.png,#000101
꽃고추,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
꽃기린,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
꽃베고니아,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
꽃사과나무,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
꽃호박,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
꽈리,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
나팔꽃,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
낙산홍,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
낙엽관목류,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
낙엽교목류,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
남제옥,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
남천,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
냉이초,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
네모필라,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
네프로네피스,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
노단새,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
노무라,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
능소화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
니겔라,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
니포피아,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
다래,https://static.farmmorning.com/crop/20230725/common_ic_kiwi.png,#010201
다알리아,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
다정금,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
단풍,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#000100
